Tiempo;Recursos
1;190
2;191
3;207
4;189
5;215
6;194
7;206
8;215
9;187
10;193
11;205
12;208
13;203
14;208
15;200
16;205
17;201
18;191
19;197
20;192
21;213
22;190
23;214
24;196
25;203
26;199
27;210
28;192
29;205
30;190
31;198
32;186
33;201
34;189
35;192
36;207
37;187
38;207
39;211
40;198
41;200
42;213
43;192
44;197
45;200
46;188
47;209
48;189
49;187
50;207
51;209
52;210
53;197
54;196
55;191
56;215
57;188
58;201
59;202
60;204
61;210
62;193
63;191
64;208
65;192
66;195
67;201
68;210
69;200
70;209
71;188
72;212
73;203
74;193
75;200
76;214
77;196
78;199
79;193
80;196
81;203
82;213
83;215
84;186
85;209
86;192
87;187
88;208
89;195
90;202
91;207
92;196
93;194
94;204
95;185
96;187
97;201
98;210
99;205
100;212
101;192
102;192
103;202
104;194
105;192
106;214
107;193
108;209
109;186
110;212
111;190
112;204
113;200
114;211
115;200
116;209
117;208
118;186
119;194
120;202
121;203
122;193
123;205
124;196
125;193
126;194
127;205
128;201
129;197
130;194
131;195
132;212
133;212
134;190
135;213
136;186
137;185
138;195
139;191
140;210
141;199
142;212
143;199
144;191
145;186
146;207
147;215
148;201
149;210
150;196
151;189
152;195
153;201
154;205
155;211
156;213
157;212
158;203
159;192
160;208
161;205
162;195
163;188
164;206
165;204
166;202
167;196
168;193
169;201
170;186
171;195
172;195
173;198
174;197
175;193
176;203
177;199
178;190
179;199
180;194
181;198
182;210
183;215
184;214
185;200
186;207
187;194
188;203
189;198
190;200
191;188
192;198
193;187
194;209
195;190
196;199
197;192
198;186
199;185
200;211
201;192
202;187
203;191
204;208
205;212
206;185
207;212
208;194
209;213
210;189
211;197
212;202
213;199
214;198
215;192
216;210
217;198
218;190
219;201
220;202
221;194
222;191
223;195
224;207
225;207
226;195
227;205
228;193
229;204
230;206
231;189
232;211
233;185
234;193
235;209
236;189
237;213
238;198
239;208
240;190
241;185
242;187
243;196
244;203
245;208
246;200
247;210
248;203
249;199
250;202
251;193
252;212
253;193
254;191
255;198
256;193
257;203
258;210
259;199
260;191
261;198
262;211
263;197
264;202
265;211
266;215
267;215
268;209
269;193
270;206
271;190
272;194
273;188
274;187
275;206
276;192
277;196
278;214
279;189
280;215
281;214
282;203
283;205
284;202
285;193
286;204
287;210
288;201
289;215
290;213
291;201
292;197
293;205
294;196
295;191
296;205
297;210
298;208
299;208
300;198
301;200
302;213
303;192
304;212
305;202
306;192
307;209
308;188
309;188
310;209
311;189
312;190
313;210
314;186
315;195
316;198
317;185
318;201
319;201
320;204
321;190
322;210
323;204
324;206
325;189
326;204
327;209
328;201
329;201
330;202
331;201
332;201
333;194
334;209
335;210
336;192
337;195
338;201
339;206
340;196
341;185
342;200
343;201
344;204
345;192
346;213
347;204
348;199
349;208
350;199
351;202
352;188
353;215
354;201
355;210
356;203
357;201
358;208
359;185
360;197
361;208
362;191
363;208
364;200
365;194
