Familia;Vivienda1;Vivienda2;Vivienda3;Vivienda4
0;1;0;0;1
1;1;1;1;1
2;1;1;1;0
3;0;1;0;0
4;1;0;1;0
5;1;1;0;0
6;0;1;1;0
7;0;1;1;0
8;0;1;1;0
9;1;1;0;1
10;1;1;0;1
11;0;1;0;0
12;0;0;1;1
13;1;0;0;1
14;0;1;0;0
15;1;1;1;1
16;1;1;1;1
17;1;1;1;0
18;1;1;0;0
19;0;1;0;0
20;1;1;1;0
21;1;1;0;1
22;1;0;0;1
23;0;0;0;1
24;1;1;0;0
25;0;1;0;0
26;1;1;1;0
27;1;0;1;0
28;1;0;0;1
29;0;0;0;1
30;0;0;1;0
31;1;1;1;0
32;1;0;0;0
33;0;0;1;1
34;1;0;0;1
35;0;1;0;0
36;1;0;1;0
37;1;0;0;0
38;0;1;1;0
39;0;1;0;0
40;0;1;1;1
41;0;1;1;0
42;1;0;0;1
43;1;1;1;0
44;1;1;1;1
45;0;1;1;0
46;1;1;0;0
47;1;1;0;0
48;0;0;1;0
49;0;1;0;1
50;1;0;1;1
51;1;0;1;1
52;1;1;0;0
53;0;1;1;1
54;1;0;0;1
55;1;0;0;0
56;1;0;1;0
57;0;0;1;1
58;1;1;1;1
59;1;0;0;0
60;0;0;1;0
61;1;0;1;0
62;1;0;0;0
63;1;0;0;0
64;0;1;1;0
65;0;1;0;0
66;1;0;0;0
67;1;0;0;0
68;0;1;0;0
69;1;1;1;1
70;1;1;1;0
71;1;0;1;1
72;1;1;1;1
73;0;0;1;1
74;1;1;1;0
75;0;1;0;0
76;0;1;0;1
77;0;1;1;0
78;1;0;0;1
79;0;0;0;1
80;0;1;0;1
81;1;0;1;0
82;1;0;1;0
83;0;1;0;1
84;1;1;1;1
85;0;0;0;1
86;1;1;1;0
87;0;0;1;0
88;1;1;0;0
89;1;1;1;1
90;1;0;0;1
91;1;1;1;0
92;1;0;0;0
93;0;1;1;1
94;0;0;1;0
95;1;1;1;1
96;1;1;1;0
97;0;0;0;1
98;1;0;0;1
99;1;1;0;0
