Familia;Vivienda1;Vivienda2;Vivienda3;Vivienda4
1;17;12;18;11
2;14;13;22;13
3;12;13;18;13
4;13;11;26;17
5;17;8;28;12
6;18;7;26;13
7;16;12;22;13
8;17;7;23;15
9;16;11;25;13
10;18;12;20;14
11;16;11;25;17
12;17;11;18;12
13;13;7;28;15
14;11;10;20;13
15;12;12;20;17
16;18;13;27;11
17;19;13;24;13
18;15;8;19;13
19;13;9;19;16
20;19;13;26;14
21;19;9;23;15
22;12;8;25;14
23;16;7;18;13
24;17;7;23;14
25;16;11;26;12
26;14;9;25;16
27;19;11;20;14
28;11;8;24;15
29;15;9;28;17
30;19;13;26;14
31;17;8;26;15
32;13;12;18;15
33;18;12;26;16
34;12;9;20;15
35;15;7;26;13
36;17;13;20;11
37;11;12;23;16
38;16;7;27;16
39;13;8;25;15
40;12;7;19;16
41;15;8;27;12
42;13;12;21;11
43;12;13;19;12
44;11;11;25;15
45;12;8;23;12
46;16;12;27;11
47;11;10;19;13
48;15;11;24;14
49;13;11;21;11
50;13;9;24;13
51;13;8;26;12
52;14;8;21;16
53;16;10;26;12
54;11;7;22;11
55;13;8;20;12
56;15;11;18;16
57;19;9;21;12
58;16;7;18;13
59;18;12;19;13
60;13;9;28;11
61;19;10;28;15
62;12;13;21;11
63;15;10;25;15
64;18;7;19;11
65;11;12;28;13
66;19;7;26;16
67;11;8;20;15
68;18;9;18;13
69;16;10;19;15
70;13;7;20;14
71;14;13;28;17
72;18;11;26;17
73;19;12;19;17
74;14;11;26;17
75;16;12;19;15
76;16;9;25;11
77;14;11;19;11
78;13;11;19;16
79;16;13;20;11
80;15;11;20;17
81;18;7;24;13
82;12;13;24;15
83;13;11;18;16
84;19;7;22;17
85;16;7;19;11
86;11;9;27;11
87;13;8;21;11
88;16;9;28;15
89;13;7;18;16
90;17;10;18;12
91;14;7;23;13
92;11;13;26;11
93;12;9;26;16
94;16;8;26;12
95;13;13;26;12
96;16;9;18;13
97;19;11;25;14
98;18;11;19;11
99;11;7;22;15
100;12;7;22;12
101;18;13;19;11
102;15;13;21;11
103;13;11;28;15
104;16;12;19;16
105;13;10;28;12
106;19;8;20;15
107;13;12;18;15
108;19;7;28;16
109;17;7;19;13
110;16;8;22;17
111;19;7;19;14
112;18;11;23;14
113;14;8;27;17
114;19;8;23;11
115;12;12;22;15
116;11;8;25;17
117;17;7;21;16
118;19;7;20;15
119;12;7;23;17
120;13;9;22;17
121;12;8;27;16
122;15;8;23;16
123;12;11;18;13
124;18;11;21;14
125;13;8;21;16
126;15;8;28;12
127;19;13;19;16
128;13;8;18;14
129;17;9;24;14
130;13;13;25;17
131;15;11;20;13
132;17;11;26;11
133;13;9;18;13
134;14;11;24;14
135;17;10;18;13
136;16;10;27;16
137;19;7;23;17
138;13;7;19;11
139;15;7;20;15
140;12;11;23;11
141;18;7;19;11
142;12;12;24;13
143;16;8;28;13
144;14;13;18;13
145;18;9;24;14
146;15;9;28;17
147;15;12;25;16
148;19;10;25;11
149;15;13;21;13
150;19;11;28;12
151;17;11;21;16
152;12;11;24;13
153;14;12;26;15
154;13;7;25;12
155;16;11;26;14
156;18;10;21;13
157;13;13;28;11
158;15;13;18;11
159;11;8;19;11
160;12;7;21;17
161;15;7;22;14
162;13;9;24;12
163;15;13;19;11
164;13;12;19;17
165;18;10;22;11
166;14;7;27;17
167;17;8;20;17
168;15;12;25;13
169;17;12;23;17
170;14;13;28;12
171;19;11;22;11
172;19;11;25;16
173;13;7;20;12
174;15;10;22;11
175;15;13;22;15
176;13;9;28;13
177;16;12;24;14
178;14;10;25;12
179;16;13;24;17
180;19;11;28;11
181;13;10;22;17
